Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
Intercept,0.902,0.506,0.078,1.687,0.003,0.002,29568.0,22936.0,1.0,Breast,DSC_binary
C(ROI_category)[Tumor],-0.972,0.201,-1.293,-0.651,0.001,0.001,39951.0,24478.0,1.0,Breast,DSC_binary
C(Location)[US],-0.537,0.38,-1.146,0.061,0.002,0.002,24293.0,20372.0,1.0,Breast,DSC_binary
"C(Gender, Treatment(""Male""))[Female]",-0.102,0.256,-0.512,0.307,0.002,0.001,25101.0,19633.0,1.0,Breast,DSC_binary
Total_years_of_practice,-0.062,0.118,-0.25,0.125,0.001,0.001,24629.0,19463.0,1.0,Breast,DSC_binary
"C(Practice_type, Treatment(""Non-academic""))[Academic]",-0.371,0.237,-0.738,0.018,0.001,0.001,25523.0,18624.0,1.0,Breast,DSC_binary
Colleague_num,-0.021,0.124,-0.22,0.176,0.001,0.001,27153.0,23344.0,1.0,Breast,DSC_binary
"C(Colleague_presence, Treatment(""No""))[Yes]",0.279,0.307,-0.207,0.774,0.002,0.002,26875.0,21606.0,1.0,Breast,DSC_binary
"C(Race_white, Treatment(""Unchecked""))[Checked]",-0.301,0.239,-0.676,0.085,0.001,0.001,25907.0,18128.0,1.0,Breast,DSC_binary
"C(Treat_site_Breast, Treatment(""Unchecked""))[Checked]",0.529,0.421,-0.143,1.198,0.003,0.002,26558.0,21617.0,1.0,Breast,DSC_binary
1|Record_ID_sigma,0.57,0.194,0.268,0.895,0.002,0.002,8348.0,10181.0,1.0,Breast,DSC_binary
1|Record_ID[2],0.455,0.555,-0.375,1.34,0.003,0.003,29115.0,22574.0,1.0,Breast,DSC_binary
1|Record_ID[14],-0.346,0.536,-1.218,0.456,0.003,0.003,32385.0,22950.0,1.0,Breast,DSC_binary
1|Record_ID[16],0.073,0.489,-0.721,0.837,0.003,0.003,37860.0,22504.0,1.0,Breast,DSC_binary
1|Record_ID[18],0.555,0.565,-0.249,1.489,0.004,0.003,24487.0,22290.0,1.0,Breast,DSC_binary
