Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
Intercept,0.194,0.451,-0.533,0.905,0.003,0.003,24152.0,18729.0,1.0,Breast,HD95_binary
C(ROI_category)[Tumor],-0.789,0.182,-1.08,-0.5,0.001,0.001,35793.0,22164.0,1.0,Breast,HD95_binary
C(Location)[US],-0.368,0.329,-0.887,0.158,0.002,0.002,22618.0,18661.0,1.0,Breast,HD95_binary
"C(Gender, Treatment(""Male""))[Female]",-0.228,0.224,-0.59,0.123,0.002,0.001,20332.0,15206.0,1.0,Breast,HD95_binary
Total_years_of_practice,0.013,0.103,-0.155,0.171,0.001,0.001,22036.0,17778.0,1.0,Breast,HD95_binary
"C(Practice_type, Treatment(""Non-academic""))[Academic]",0.067,0.205,-0.255,0.4,0.001,0.001,22238.0,17476.0,1.0,Breast,HD95_binary
Colleague_num,0.002,0.108,-0.171,0.174,0.001,0.001,22862.0,16972.0,1.0,Breast,HD95_binary
"C(Colleague_presence, Treatment(""No""))[Yes]",0.079,0.268,-0.358,0.496,0.002,0.001,21894.0,18182.0,1.0,Breast,HD95_binary
"C(Race_white, Treatment(""Unchecked""))[Checked]",-0.069,0.205,-0.398,0.253,0.001,0.002,22159.0,16608.0,1.0,Breast,HD95_binary
"C(Treat_site_Breast, Treatment(""Unchecked""))[Checked]",0.428,0.375,-0.175,1.017,0.002,0.002,23740.0,19189.0,1.0,Breast,HD95_binary
1|Record_ID_sigma,0.362,0.19,0.002,0.599,0.002,0.002,6539.0,11367.0,1.0,Breast,HD95_binary
1|Record_ID[2],0.056,0.351,-0.486,0.639,0.002,0.002,29289.0,20765.0,1.0,Breast,HD95_binary
1|Record_ID[14],-0.149,0.382,-0.793,0.401,0.003,0.003,22079.0,17177.0,1.0,Breast,HD95_binary
1|Record_ID[16],-0.003,0.352,-0.577,0.549,0.002,0.002,25102.0,18002.0,1.0,Breast,HD95_binary
1|Record_ID[18],0.254,0.4,-0.294,0.92,0.003,0.002,19418.0,17597.0,1.0,Breast,HD95_binary
1|Record_ID[27],0.098,0.37,-0.485,0.69,0.002,0.002,27565.0,20482.0,1.0,Breast,HD95_binary
1|Record_ID[29],-0.052,0.359,-0.646,0.502,0.002,0.002,26506.0,19292.0,1.0,Breast,HD95_binary
1|Record_ID[31],-0.037,0.351,-0.605,0.514,0.002,0.002,26874.0,20175.0,1.0,Breast,HD95_binary
1|Record_ID[32],0.023,0.344,-0.512,0.587,0.002,0.002,27172.0,19979.0,1.0,Breast,HD95_binary
1|Record_ID[48],0.2,0.378,-0.348,0.818,0.003,0.002,20563.0,18492.0,1.0,Breast,HD95_binary
1|Record_ID[59],0.173,0.366,-0.385,0.756,0.003,0.002,23021.0,16891.0,1.0,Breast,HD95_binary
1|Record_ID[68],0.118,0.381,-0.468,0.735,0.003,0.002,23469.0,16399.0,1.0,Breast,HD95_binary
1|Record_ID[84],0.137,0.367,-0.431,0.731,0.002,0.002,24296.0,20742.0,1.0,Breast,HD95_binary
1|Record_ID[105],0.285,0.403,-0.285,0.929,0.003,0.002,16599.0,17384.0,1.0,Breast,HD95_binary
1|Record_ID[111],0.302,0.432,-0.262,1.008,0.004,0.003,16442.0,16309.0,1.0,Breast,HD95_binary
1|Record_ID[112],0.117,0.35,-0.397,0.718,0.002,0.002,25438.0,19003.0,1.0,Breast,HD95_binary
1|Record_ID[113],-0.184,0.382,-0.832,0.353,0.003,0.002,20787.0,17657.0,1.0,Breast,HD95_binary
1|Record_ID[120],-0.122,0.364,-0.721,0.435,0.002,0.002,24298.0,19316.0,1.0,Breast,HD95_binary
1|Record_ID[122],-0.134,0.379,-0.767,0.428,0.003,0.002,24942.0,18410.0,1.0,Breast,HD95_binary
1|Record_ID[128],0.12,0.372,-0.437,0.734,0.002,0.002,26179.0,18596.0,1.0,Breast,HD95_binary
