Case,Metric,Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Breast,SDSC_binary,Intercept,0.698,0.507,-0.126,1.496,0.002,0.002,55399.0,31595.0,1.0
Breast,SDSC_binary,C(ROI_category)[Tumor],-1.235,0.198,-1.541,-0.908,0.001,0.001,63876.0,28492.0,1.0
Breast,SDSC_binary,C(Location)[US],-0.33,0.378,-0.95,0.252,0.002,0.002,50284.0,31121.0,1.0
Breast,SDSC_binary,"C(Gender, Treatment(""Male""))[Female]",-0.301,0.249,-0.693,0.101,0.001,0.001,50534.0,31443.0,1.0
Breast,SDSC_binary,Total_years_of_practice,-0.011,0.117,-0.189,0.184,0.0,0.001,54594.0,32974.0,1.0
Breast,SDSC_binary,"C(Practice_type, Treatment(""Non-academic""))[Academic]",-0.374,0.238,-0.747,0.011,0.001,0.001,50801.0,31170.0,1.0
Breast,SDSC_binary,Colleague_num,-0.032,0.125,-0.229,0.169,0.001,0.001,50473.0,30704.0,1.0
Breast,SDSC_binary,"C(Colleague_presence, Treatment(""No""))[Yes]",0.161,0.304,-0.34,0.634,0.001,0.001,51137.0,30348.0,1.0
Breast,SDSC_binary,"C(Race_white, Treatment(""Unchecked""))[Checked]",-0.169,0.233,-0.543,0.2,0.001,0.001,51749.0,31319.0,1.0
Breast,SDSC_binary,"C(Treat_site_Breast, Treatment(""Unchecked""))[Checked]",0.667,0.426,-0.008,1.344,0.002,0.002,50551.0,30016.0,1.0
Breast,SDSC_binary,1|Record_ID_sigma,0.577,0.187,0.291,0.888,0.002,0.001,9414.0,10873.0,1.0
Breast,SDSC_binary,1|Record_ID[2],0.39,0.522,-0.426,1.217,0.002,0.002,46357.0,29161.0,1.0
Breast,SDSC_binary,1|Record_ID[14],-0.481,0.573,-1.367,0.407,0.003,0.003,39304.0,29237.0,1.0
Breast,SDSC_binary,1|Record_ID[16],-0.237,0.508,-1.058,0.549,0.002,0.003,58348.0,27529.0,1.0
Breast,SDSC_binary,1|Record_ID[18],0.6,0.567,-0.268,1.468,0.003,0.003,29958.0,28204.0,1.0
Breast,SDSC_binary,1|Record_ID[27],0.251,0.521,-0.554,1.094,0.002,0.003,56295.0,29834.0,1.0
Breast,SDSC_binary,1|Record_ID[29],-0.331,0.527,-1.179,0.487,0.002,0.002,53848.0,29864.0,1.0
Breast,SDSC_binary,1|Record_ID[31],-0.395,0.518,-1.207,0.416,0.002,0.002,47131.0,29218.0,1.0
Breast,SDSC_binary,1|Record_ID[32],0.367,0.526,-0.436,1.222,0.002,0.002,48817.0,28131.0,1.0
Breast,SDSC_binary,1|Record_ID[48],0.341,0.515,-0.46,1.162,0.002,0.002,47625.0,29348.0,1.0
Breast,SDSC_binary,1|Record_ID[59],0.345,0.502,-0.447,1.134,0.002,0.002,48924.0,29578.0,1.0
Breast,SDSC_binary,1|Record_ID[68],0.129,0.523,-0.714,0.959,0.002,0.003,69215.0,29836.0,1.0
Breast,SDSC_binary,1|Record_ID[84],0.04,0.492,-0.732,0.841,0.002,0.003,71664.0,30845.0,1.0
Breast,SDSC_binary,1|Record_ID[105],0.34,0.506,-0.431,1.158,0.002,0.002,52628.0,30353.0,1.0
Breast,SDSC_binary,1|Record_ID[111],0.339,0.528,-0.489,1.17,0.002,0.002,50702.0,29174.0,1.0
Breast,SDSC_binary,1|Record_ID[112],-0.043,0.482,-0.806,0.73,0.002,0.003,71326.0,30354.0,1.0
Breast,SDSC_binary,1|Record_ID[113],0.264,0.527,-0.56,1.109,0.002,0.003,55336.0,29069.0,1.0
Breast,SDSC_binary,1|Record_ID[120],0.047,0.496,-0.753,0.824,0.002,0.003,66576.0,30229.0,1.0
Breast,SDSC_binary,1|Record_ID[122],-0.133,0.511,-0.97,0.667,0.002,0.003,67529.0,29730.0,1.0
Breast,SDSC_binary,1|Record_ID[128],0.115,0.508,-0.682,0.943,0.002,0.003,64968.0,27770.0,1.0
Breast,SDSC_binary,1|Record_ID[131],0.266,0.511,-0.528,1.088,0.002,0.002,55518.0,30029.0,1.0
Breast,SDSC_binary,1|Record_ID[140],-0.319,0.528,-1.182,0.482,0.002,0.002,51152.0,29564.0,1.0
Breast,SDSC_binary,1|Record_ID[141],-0.165,0.482,-0.937,0.603,0.002,0.003,62220.0,28594.0,1.0
Breast,SDSC_binary,1|Record_ID[149],-0.498,0.518,-1.321,0.304,0.003,0.002,37424.0,30670.0,1.0
Breast,SDSC_binary,1|Record_ID[150],0.741,0.588,-0.149,1.643,0.004,0.003,26552.0,28319.0,1.0
Breast,SDSC_binary,1|Record_ID[151],-0.319,0.502,-1.136,0.449,0.002,0.002,53301.0,31346.0,1.0
Breast,SDSC_binary,1|Record_ID[165],0.378,0.512,-0.401,1.202,0.002,0.002,44871.0,28519.0,1.0
Breast,SDSC_binary,1|Record_ID[175],0.117,0.491,-0.651,0.912,0.002,0.003,64691.0,29402.0,1.0
Breast,SDSC_binary,1|Record_ID[179],0.295,0.518,-0.508,1.127,0.002,0.002,54884.0,29028.0,1.0
Breast,SDSC_binary,1|Record_ID[184],0.155,0.517,-0.679,0.968,0.002,0.003,58079.0,29127.0,1.0
Breast,SDSC_binary,1|Record_ID[186],0.058,0.49,-0.719,0.846,0.002,0.003,70813.0,30433.0,1.0
Breast,SDSC_binary,1|Record_ID[192],0.027,0.507,-0.789,0.831,0.002,0.003,74380.0,28903.0,1.0
Breast,SDSC_binary,1|Record_ID[199],0.683,0.584,-0.211,1.574,0.003,0.003,28774.0,30463.0,1.0
Breast,SDSC_binary,1|Record_ID[206],-0.3,0.518,-1.136,0.496,0.002,0.002,52801.0,29958.0,1.0
