Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
Intercept,-3.28,2.667,-7.338,1.081,0.015,0.013,32625.0,22474.0,1.0,GI,DSC_binary
C(ROI_category)[Tumor],-2.953,0.976,-4.441,-1.362,0.004,0.003,54623.0,28418.0,1.0,GI,DSC_binary
C(Location)[US],4.243,3.223,-0.694,9.358,0.02,0.016,26614.0,22297.0,1.0,GI,DSC_binary
"C(Gender, Treatment(""Male""))[Female]",0.549,1.143,-1.246,2.351,0.007,0.007,28502.0,21852.0,1.0,GI,DSC_binary
Total_years_of_practice,-0.334,0.736,-1.488,0.831,0.005,0.004,20796.0,21685.0,1.0,GI,DSC_binary
"C(Practice_type, Treatment(""Non-academic""))[Academic]",-1.367,1.578,-3.872,1.12,0.011,0.009,20980.0,21353.0,1.0,GI,DSC_binary
Colleague_num,0.011,0.975,-1.506,1.591,0.007,0.005,22249.0,23536.0,1.0,GI,DSC_binary
"C(Colleague_presence, Treatment(""No""))[Yes]",2.214,1.403,0.033,4.433,0.008,0.007,31745.0,22070.0,1.0,GI,DSC_binary
"C(Race_white, Treatment(""Unchecked""))[Checked]",0.889,1.145,-0.906,2.701,0.007,0.006,31258.0,23044.0,1.0,GI,DSC_binary
"C(Treat_site_Gastrointestinal, Treatment(""Unchecked""))[Checked]",3.018,2.093,-0.337,6.261,0.013,0.01,28288.0,24776.0,1.0,GI,DSC_binary
1|Record_ID_sigma,0.776,0.643,0.0,1.577,0.006,0.004,13999.0,15694.0,1.0,GI,DSC_binary
1|Record_ID[18],0.12,0.87,-1.173,1.446,0.005,0.005,34225.0,24415.0,1.0,GI,DSC_binary
1|Record_ID[31],-0.003,0.87,-1.317,1.281,0.005,0.005,36755.0,23056.0,1.0,GI,DSC_binary
1|Record_ID[128],0.147,1.008,-1.261,1.689,0.006,0.006,42542.0,23428.0,1.0,GI,DSC_binary
1|Record_ID[140],-0.207,0.902,-1.634,1.054,0.006,0.005,31633.0,24296.0,1.0,GI,DSC_binary
1|Record_ID[182],-0.05,0.836,-1.281,1.292,0.005,0.004,35696.0,25716.0,1.0,GI,DSC_binary
1|Record_ID[199],0.058,0.803,-1.205,1.288,0.004,0.004,40997.0,27220.0,1.0,GI,DSC_binary
1|Record_ID[232],-0.064,0.975,-1.618,1.304,0.006,0.005,38099.0,23402.0,1.0,GI,DSC_binary
1|Record_ID[267],-0.06,0.837,-1.357,1.185,0.005,0.004,34403.0,22788.0,1.0,GI,DSC_binary
1|Record_ID[292],-0.359,1.013,-1.794,1.048,0.006,0.006,33825.0,21992.0,1.0,GI,DSC_binary
1|Record_ID[362],0.056,0.89,-1.259,1.398,0.005,0.005,35269.0,24409.0,1.0,GI,DSC_binary
1|Record_ID[630],0.34,0.921,-0.906,1.762,0.006,0.006,29610.0,22830.0,1.0,GI,DSC_binary
1|Record_ID[645],-0.021,0.819,-1.336,1.18,0.004,0.004,43631.0,24628.0,1.0,GI,DSC_binary
1|Record_ID[716],-0.262,0.866,-1.608,0.953,0.005,0.005,34434.0,23117.0,1.0,GI,DSC_binary
1|Record_ID[799],-0.059,0.998,-1.572,1.345,0.005,0.006,45077.0,24009.0,1.0,GI,DSC_binary
1|Record_ID[885],0.296,0.951,-1.039,1.749,0.006,0.006,31606.0,22549.0,1.0,GI,DSC_binary
1|Record_ID[1051],0.056,0.95,-1.38,1.483,0.006,0.005,34663.0,23926.0,1.0,GI,DSC_binary
1|Record_ID[1073],0.007,0.8,-1.231,1.257,0.004,0.004,39199.0,26378.0,1.0,GI,DSC_binary
