Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
Intercept,2.792,2.846,-1.671,7.203,0.036,0.033,7032.0,5243.0,1.0,GI,SDSC_binary
C(ROI_category)[Tumor],-0.158,0.855,-1.484,1.23,0.006,0.006,17715.0,14551.0,1.0,GI,SDSC_binary
C(Location)[US],0.704,2.516,-3.101,4.664,0.036,0.043,6230.0,5212.0,1.0,GI,SDSC_binary
"C(Gender, Treatment(""Male""))[Female]",-0.415,1.303,-2.401,1.687,0.016,0.014,7018.0,5575.0,1.0,GI,SDSC_binary
Total_years_of_practice,0.937,0.864,-0.403,2.306,0.013,0.011,5192.0,4085.0,1.0,GI,SDSC_binary
"C(Practice_type, Treatment(""Non-academic""))[Academic]",-1.491,1.845,-4.406,1.424,0.024,0.017,6509.0,6451.0,1.0,GI,SDSC_binary
Colleague_num,1.179,1.174,-0.682,3.0,0.017,0.018,5321.0,4717.0,1.0,GI,SDSC_binary
"C(Colleague_presence, Treatment(""No""))[Yes]",1.611,1.528,-0.711,3.988,0.028,0.021,3998.0,3269.0,1.0,GI,SDSC_binary
"C(Race_white, Treatment(""Unchecked""))[Checked]",-0.299,1.45,-2.605,1.877,0.018,0.018,7561.0,5900.0,1.0,GI,SDSC_binary
"C(Treat_site_Gastrointestinal, Treatment(""Unchecked""))[Checked]",-1.748,2.082,-5.093,1.353,0.028,0.022,6095.0,4637.0,1.0,GI,SDSC_binary
1|Record_ID_sigma,1.297,1.055,0.0,2.604,0.022,0.021,3506.0,2309.0,1.0,GI,SDSC_binary
1|Record_ID[18],0.385,1.534,-1.804,2.739,0.023,0.02,7380.0,4592.0,1.0,GI,SDSC_binary
1|Record_ID[31],0.231,1.292,-1.594,2.426,0.017,0.014,7531.0,5841.0,1.0,GI,SDSC_binary
1|Record_ID[128],-0.272,1.563,-2.636,1.922,0.027,0.028,6913.0,4052.0,1.0,GI,SDSC_binary
1|Record_ID[140],-0.314,1.327,-2.544,1.634,0.019,0.014,6579.0,6059.0,1.0,GI,SDSC_binary
1|Record_ID[182],-0.419,1.287,-2.361,1.485,0.02,0.021,6516.0,4519.0,1.0,GI,SDSC_binary
1|Record_ID[199],0.528,1.581,-1.666,2.76,0.031,0.03,5701.0,3348.0,1.0,GI,SDSC_binary
1|Record_ID[232],0.254,1.63,-2.203,2.643,0.029,0.024,5648.0,4574.0,1.0,GI,SDSC_binary
1|Record_ID[267],-0.171,1.205,-2.108,1.679,0.017,0.013,6187.0,5309.0,1.0,GI,SDSC_binary
1|Record_ID[292],-0.748,1.481,-3.156,1.126,0.022,0.018,6910.0,4638.0,1.0,GI,SDSC_binary
1|Record_ID[362],-0.852,1.63,-3.345,1.205,0.027,0.025,6038.0,3732.0,1.0,GI,SDSC_binary
1|Record_ID[630],0.39,1.495,-1.666,2.693,0.019,0.015,9439.0,7814.0,1.0,GI,SDSC_binary
1|Record_ID[645],-0.345,1.191,-2.313,1.391,0.017,0.016,7137.0,3962.0,1.0,GI,SDSC_binary
1|Record_ID[716],0.506,1.554,-1.601,2.84,0.028,0.027,6614.0,3142.0,1.0,GI,SDSC_binary
1|Record_ID[799],0.465,1.573,-1.677,2.837,0.028,0.033,7259.0,4064.0,1.0,GI,SDSC_binary
1|Record_ID[885],0.425,1.411,-1.65,2.574,0.027,0.026,5050.0,4274.0,1.0,GI,SDSC_binary
1|Record_ID[1051],-0.61,1.594,-3.168,1.478,0.029,0.025,4682.0,3869.0,1.0,GI,SDSC_binary
1|Record_ID[1073],0.448,1.136,-1.141,2.357,0.014,0.01,8419.0,6364.0,1.0,GI,SDSC_binary
