Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
Intercept,-0.096,1.205,-2.022,1.778,0.009,0.008,19783.0,16063.0,1.0,GYN,DSC_binary
C(ROI_category)[Tumor],-0.086,0.514,-0.917,0.715,0.003,0.003,39118.0,24318.0,1.0,GYN,DSC_binary
C(Location)[US],0.075,1.008,-1.521,1.664,0.008,0.007,14987.0,12676.0,1.0,GYN,DSC_binary
"C(Gender, Treatment(""Male""))[Female]",-0.127,0.644,-1.148,0.879,0.005,0.005,15205.0,13749.0,1.0,GYN,DSC_binary
Total_years_of_practice,-0.254,0.327,-0.776,0.241,0.003,0.004,13143.0,8731.0,1.0,GYN,DSC_binary
"C(Practice_type, Treatment(""Non-academic""))[Academic]",-0.373,0.617,-1.335,0.594,0.005,0.006,15083.0,11035.0,1.0,GYN,DSC_binary
Colleague_num,-0.127,0.309,-0.613,0.358,0.002,0.002,17355.0,17195.0,1.0,GYN,DSC_binary
"C(Colleague_presence, Treatment(""No""))[Yes]",0.233,0.833,-1.055,1.569,0.007,0.006,15862.0,12871.0,1.0,GYN,DSC_binary
"C(Race_white, Treatment(""Unchecked""))[Checked]",0.467,0.575,-0.467,1.359,0.004,0.003,21056.0,17800.0,1.0,GYN,DSC_binary
"C(Treat_site_Gynecologic, Treatment(""Unchecked""))[Checked]",-0.42,0.848,-1.761,0.92,0.007,0.006,16107.0,13609.0,1.0,GYN,DSC_binary
1|Record_ID_sigma,0.729,0.455,0.001,1.306,0.006,0.004,6940.0,8262.0,1.0,GYN,DSC_binary
1|Record_ID[18],0.313,0.763,-0.832,1.507,0.006,0.006,18495.0,12756.0,1.0,GYN,DSC_binary
1|Record_ID[27],-0.009,0.711,-1.162,1.093,0.005,0.004,23389.0,16377.0,1.0,GYN,DSC_binary
1|Record_ID[31],0.15,0.69,-0.957,1.233,0.005,0.004,25616.0,17274.0,1.0,GYN,DSC_binary
1|Record_ID[32],0.232,0.753,-0.894,1.45,0.006,0.005,19461.0,16304.0,1.0,GYN,DSC_binary
1|Record_ID[48],0.297,0.759,-0.771,1.557,0.006,0.005,17465.0,14854.0,1.0,GYN,DSC_binary
1|Record_ID[128],-0.132,0.747,-1.306,1.015,0.007,0.009,17081.0,13043.0,1.0,GYN,DSC_binary
1|Record_ID[182],-0.087,0.695,-1.223,0.989,0.005,0.004,22090.0,15104.0,1.0,GYN,DSC_binary
1|Record_ID[186],-0.348,0.712,-1.455,0.72,0.006,0.005,18672.0,14242.0,1.0,GYN,DSC_binary
1|Record_ID[267],-0.393,0.748,-1.649,0.64,0.006,0.005,18930.0,17958.0,1.0,GYN,DSC_binary
1|Record_ID[272],-0.338,0.84,-1.64,0.889,0.007,0.006,19821.0,11774.0,1.0,GYN,DSC_binary
1|Record_ID[292],-0.568,0.878,-1.948,0.604,0.008,0.006,15558.0,14504.0,1.0,GYN,DSC_binary
1|Record_ID[304],0.358,0.842,-0.888,1.653,0.007,0.006,20456.0,14145.0,1.0,GYN,DSC_binary
1|Record_ID[336],0.514,0.74,-0.521,1.688,0.006,0.005,18106.0,17693.0,1.0,GYN,DSC_binary
1|Record_ID[362],-0.381,0.837,-1.724,0.784,0.007,0.006,18635.0,15398.0,1.0,GYN,DSC_binary
1|Record_ID[451],0.426,0.722,-0.577,1.599,0.006,0.005,18860.0,18043.0,1.0,GYN,DSC_binary
1|Record_ID[472],-0.238,0.69,-1.369,0.789,0.005,0.004,22976.0,20566.0,1.0,GYN,DSC_binary
1|Record_ID[603],-0.572,0.863,-1.917,0.61,0.007,0.005,17369.0,17180.0,1.0,GYN,DSC_binary
1|Record_ID[630],-0.145,0.672,-1.242,0.886,0.004,0.004,25029.0,20700.0,1.0,GYN,DSC_binary
1|Record_ID[641],-0.253,0.686,-1.374,0.764,0.005,0.004,24214.0,20508.0,1.0,GYN,DSC_binary
1|Record_ID[645],-0.201,0.659,-1.251,0.804,0.004,0.004,26740.0,20579.0,1.0,GYN,DSC_binary
1|Record_ID[710],0.537,0.765,-0.489,1.777,0.007,0.005,14407.0,15762.0,1.0,GYN,DSC_binary
1|Record_ID[716],0.627,0.813,-0.454,1.9,0.008,0.006,13598.0,14095.0,1.0,GYN,DSC_binary
1|Record_ID[765],-0.186,0.838,-1.472,1.095,0.007,0.008,19800.0,11143.0,1.0,GYN,DSC_binary
1|Record_ID[767],0.039,0.75,-1.121,1.246,0.006,0.005,19041.0,16648.0,1.0,GYN,DSC_binary
1|Record_ID[799],-0.035,0.675,-1.142,1.02,0.004,0.004,25965.0,20407.0,1.0,GYN,DSC_binary
1|Record_ID[866],0.168,0.734,-0.996,1.31,0.006,0.005,18859.0,15419.0,1.0,GYN,DSC_binary
1|Record_ID[871],0.1,0.672,-0.933,1.205,0.005,0.004,23394.0,19246.0,1.0,GYN,DSC_binary
1|Record_ID[873],-0.064,0.694,-1.148,1.058,0.005,0.005,22295.0,16890.0,1.0,GYN,DSC_binary
1|Record_ID[885],-0.106,0.711,-1.3,0.929,0.006,0.006,19024.0,16929.0,1.0,GYN,DSC_binary
1|Record_ID[933],0.476,0.763,-0.57,1.73,0.007,0.005,15691.0,14544.0,1.0,GYN,DSC_binary
1|Record_ID[978],-0.015,0.669,-1.076,1.054,0.005,0.004,23467.0,19039.0,1.0,GYN,DSC_binary
1|Record_ID[1010],-0.192,0.78,-1.46,0.947,0.006,0.005,21497.0,16369.0,1.0,GYN,DSC_binary
