Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
Intercept,-0.28,1.51,-2.648,2.139,0.012,0.01,18014.0,12241.0,1.0,GYN,SDSC_binary
C(ROI_category)[Tumor],0.564,0.578,-0.381,1.458,0.003,0.004,31914.0,19393.0,1.0,GYN,SDSC_binary
C(Location)[US],-0.466,1.237,-2.437,1.486,0.01,0.008,16197.0,15236.0,1.0,GYN,SDSC_binary
"C(Gender, Treatment(""Male""))[Female]",-0.055,0.826,-1.336,1.266,0.007,0.007,14827.0,12270.0,1.0,GYN,SDSC_binary
Total_years_of_practice,-0.536,0.418,-1.18,0.126,0.004,0.003,13708.0,9130.0,1.0,GYN,SDSC_binary
"C(Practice_type, Treatment(""Non-academic""))[Academic]",-1.304,0.786,-2.524,-0.041,0.007,0.006,14715.0,10401.0,1.0,GYN,SDSC_binary
Colleague_num,-0.336,0.431,-1.011,0.338,0.004,0.003,13786.0,8826.0,1.0,GYN,SDSC_binary
"C(Colleague_presence, Treatment(""No""))[Yes]",0.265,1.069,-1.391,1.979,0.009,0.008,13839.0,12240.0,1.0,GYN,SDSC_binary
"C(Race_white, Treatment(""Unchecked""))[Checked]",0.654,0.733,-0.503,1.796,0.007,0.006,13981.0,10601.0,1.0,GYN,SDSC_binary
"C(Treat_site_Gynecologic, Treatment(""Unchecked""))[Checked]",-0.662,1.103,-2.389,1.086,0.009,0.008,14948.0,10891.0,1.0,GYN,SDSC_binary
1|Record_ID_sigma,1.146,0.593,0.081,1.944,0.008,0.006,5396.0,8252.0,1.0,GYN,SDSC_binary
1|Record_ID[18],0.553,1.061,-1.01,2.274,0.008,0.007,19509.0,16216.0,1.0,GYN,SDSC_binary
1|Record_ID[27],0.164,1.03,-1.413,1.85,0.007,0.006,24705.0,16674.0,1.0,GYN,SDSC_binary
1|Record_ID[31],0.179,0.98,-1.372,1.747,0.007,0.006,22662.0,16047.0,1.0,GYN,SDSC_binary
1|Record_ID[32],0.277,1.075,-1.398,1.959,0.008,0.009,23943.0,17134.0,1.0,GYN,SDSC_binary
1|Record_ID[48],0.229,1.01,-1.369,1.821,0.008,0.007,18945.0,18294.0,1.0,GYN,SDSC_binary
1|Record_ID[128],-0.211,1.039,-1.901,1.373,0.008,0.007,21418.0,16791.0,1.0,GYN,SDSC_binary
1|Record_ID[182],-0.704,1.162,-2.491,0.992,0.009,0.007,20329.0,16962.0,1.0,GYN,SDSC_binary
1|Record_ID[186],0.393,0.962,-1.028,1.996,0.007,0.006,22471.0,19951.0,1.0,GYN,SDSC_binary
1|Record_ID[267],-0.925,1.094,-2.632,0.66,0.01,0.009,13447.0,11567.0,1.0,GYN,SDSC_binary
1|Record_ID[272],-0.671,1.231,-2.597,1.066,0.011,0.009,17135.0,14444.0,1.0,GYN,SDSC_binary
1|Record_ID[292],-1.001,1.283,-2.942,0.781,0.012,0.011,14341.0,13534.0,1.0,GYN,SDSC_binary
1|Record_ID[304],0.738,1.274,-1.092,2.736,0.011,0.01,17352.0,13456.0,1.0,GYN,SDSC_binary
1|Record_ID[336],0.545,0.915,-0.865,1.976,0.007,0.006,18935.0,14851.0,1.0,GYN,SDSC_binary
1|Record_ID[362],-0.332,1.198,-2.292,1.401,0.009,0.009,24216.0,18345.0,1.0,GYN,SDSC_binary
1|Record_ID[451],0.569,0.935,-0.786,2.124,0.007,0.006,21945.0,20347.0,1.0,GYN,SDSC_binary
1|Record_ID[472],-0.516,0.96,-2.068,0.904,0.007,0.007,20245.0,15414.0,1.0,GYN,SDSC_binary
1|Record_ID[603],-0.804,1.199,-2.685,0.892,0.009,0.007,20562.0,18716.0,1.0,GYN,SDSC_binary
1|Record_ID[630],-0.083,0.935,-1.622,1.349,0.007,0.006,22760.0,13662.0,1.0,GYN,SDSC_binary
1|Record_ID[641],-0.273,0.91,-1.693,1.18,0.005,0.005,31475.0,21516.0,1.0,GYN,SDSC_binary
1|Record_ID[645],-0.847,1.115,-2.593,0.689,0.009,0.007,18923.0,17919.0,1.0,GYN,SDSC_binary
1|Record_ID[710],0.579,0.931,-0.799,2.082,0.007,0.006,19455.0,17482.0,1.0,GYN,SDSC_binary
1|Record_ID[716],1.122,1.123,-0.51,2.811,0.011,0.008,12788.0,14734.0,1.0,GYN,SDSC_binary
1|Record_ID[765],-0.226,1.225,-2.167,1.622,0.008,0.009,28498.0,18226.0,1.0,GYN,SDSC_binary
1|Record_ID[767],-0.444,1.183,-2.389,1.265,0.008,0.008,23951.0,17893.0,1.0,GYN,SDSC_binary
1|Record_ID[799],0.825,1.042,-0.656,2.511,0.009,0.007,14683.0,15758.0,1.0,GYN,SDSC_binary
1|Record_ID[866],-0.157,1.048,-1.858,1.445,0.007,0.007,24236.0,20195.0,1.0,GYN,SDSC_binary
1|Record_ID[871],0.561,0.977,-0.897,2.128,0.007,0.006,21015.0,19555.0,1.0,GYN,SDSC_binary
1|Record_ID[873],-0.875,1.173,-2.643,0.808,0.01,0.008,16960.0,15123.0,1.0,GYN,SDSC_binary
1|Record_ID[885],0.073,0.988,-1.487,1.657,0.007,0.006,24981.0,17696.0,1.0,GYN,SDSC_binary
1|Record_ID[933],1.166,1.171,-0.486,2.956,0.012,0.009,11132.0,10711.0,1.0,GYN,SDSC_binary
1|Record_ID[978],0.118,0.919,-1.313,1.596,0.006,0.006,23455.0,17271.0,1.0,GYN,SDSC_binary
1|Record_ID[1010],-0.011,1.119,-1.735,1.773,0.008,0.008,21067.0,16896.0,1.0,GYN,SDSC_binary
