Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
Intercept,-0.462,0.856,-1.846,0.871,0.004,0.004,37705.0,30054.0,1.0,H&N,DSC_binary
C(ROI_category)[Tumor],-1.004,0.241,-1.388,-0.62,0.001,0.001,65671.0,30350.0,1.0,H&N,DSC_binary
C(Location)[US],0.074,0.624,-0.923,1.061,0.004,0.003,31102.0,25877.0,1.0,H&N,DSC_binary
"C(Gender, Treatment(""Male""))[Female]",-0.26,0.465,-1.005,0.472,0.003,0.002,33725.0,26508.0,1.0,H&N,DSC_binary
Total_years_of_practice,-0.226,0.21,-0.558,0.111,0.001,0.001,34766.0,28060.0,1.0,H&N,DSC_binary
"C(Practice_type, Treatment(""Non-academic""))[Academic]",0.131,0.387,-0.48,0.748,0.002,0.002,35287.0,29790.0,1.0,H&N,DSC_binary
Colleague_num,0.22,0.228,-0.151,0.575,0.001,0.001,31819.0,26266.0,1.0,H&N,DSC_binary
"C(Colleague_presence, Treatment(""No""))[Yes]",0.242,0.531,-0.615,1.067,0.003,0.002,33815.0,28420.0,1.0,H&N,DSC_binary
"C(Race_white, Treatment(""Unchecked""))[Checked]",0.661,0.412,0.016,1.327,0.002,0.002,32625.0,27214.0,1.0,H&N,DSC_binary
"C(Treat_site_Head__Neck, Treatment(""Unchecked""))[Checked]",-0.134,0.74,-1.325,1.016,0.004,0.004,33875.0,26945.0,1.0,H&N,DSC_binary
1|Record_ID_sigma,1.033,0.232,0.666,1.385,0.002,0.001,13010.0,19892.0,1.0,H&N,DSC_binary
1|Record_ID[2],0.354,0.666,-0.721,1.392,0.003,0.003,45539.0,33207.0,1.0,H&N,DSC_binary
1|Record_ID[11],0.787,0.738,-0.389,1.948,0.004,0.003,44675.0,30326.0,1.0,H&N,DSC_binary
1|Record_ID[18],0.084,0.709,-1.052,1.202,0.003,0.003,45050.0,32485.0,1.0,H&N,DSC_binary
1|Record_ID[27],0.358,0.743,-0.787,1.568,0.003,0.003,52765.0,32555.0,1.0,H&N,DSC_binary
1|Record_ID[31],-0.407,0.727,-1.565,0.73,0.003,0.003,49125.0,32654.0,1.0,H&N,DSC_binary
1|Record_ID[32],-0.367,0.649,-1.414,0.651,0.003,0.003,47986.0,33275.0,1.0,H&N,DSC_binary
1|Record_ID[46],-0.238,0.803,-1.481,1.061,0.004,0.003,44051.0,32659.0,1.0,H&N,DSC_binary
1|Record_ID[48],-0.309,0.684,-1.408,0.763,0.003,0.003,44562.0,31723.0,1.0,H&N,DSC_binary
1|Record_ID[59],0.278,0.63,-0.714,1.294,0.003,0.003,49003.0,31628.0,1.0,H&N,DSC_binary
1|Record_ID[128],0.718,0.682,-0.4,1.761,0.003,0.003,47622.0,31969.0,1.0,H&N,DSC_binary
1|Record_ID[148],-0.683,0.89,-2.082,0.727,0.004,0.004,56875.0,28930.0,1.0,H&N,DSC_binary
1|Record_ID[161],-0.459,0.672,-1.547,0.593,0.003,0.003,47088.0,30838.0,1.0,H&N,DSC_binary
1|Record_ID[165],-0.052,0.684,-1.106,1.075,0.003,0.003,43653.0,30872.0,1.0,H&N,DSC_binary
1|Record_ID[182],-0.77,0.726,-1.92,0.384,0.003,0.003,51875.0,30143.0,1.0,H&N,DSC_binary
1|Record_ID[186],0.282,0.668,-0.791,1.343,0.003,0.003,50648.0,32522.0,1.0,H&N,DSC_binary
