Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
Intercept,-0.391,0.742,-1.577,0.776,0.004,0.003,37774.0,27835.0,1.0,H&N,HD95_binary
C(ROI_category)[Tumor],-0.487,0.227,-0.841,-0.116,0.001,0.001,65404.0,28231.0,1.0,H&N,HD95_binary
C(Location)[US],0.094,0.535,-0.758,0.94,0.003,0.003,33464.0,26118.0,1.0,H&N,HD95_binary
"C(Gender, Treatment(""Male""))[Female]",-0.238,0.403,-0.885,0.389,0.002,0.002,33854.0,27950.0,1.0,H&N,HD95_binary
Total_years_of_practice,-0.11,0.18,-0.383,0.188,0.001,0.001,33860.0,26487.0,1.0,H&N,HD95_binary
"C(Practice_type, Treatment(""Non-academic""))[Academic]",0.3,0.337,-0.228,0.837,0.002,0.002,34652.0,27062.0,1.0,H&N,HD95_binary
Colleague_num,0.07,0.198,-0.245,0.385,0.001,0.001,34162.0,27109.0,1.0,H&N,HD95_binary
"C(Colleague_presence, Treatment(""No""))[Yes]",0.101,0.454,-0.623,0.821,0.002,0.002,33495.0,27894.0,1.0,H&N,HD95_binary
"C(Race_white, Treatment(""Unchecked""))[Checked]",0.505,0.355,-0.059,1.065,0.002,0.001,35036.0,28362.0,1.0,H&N,HD95_binary
"C(Treat_site_Head__Neck, Treatment(""Unchecked""))[Checked]",-0.304,0.646,-1.33,0.732,0.003,0.003,34832.0,26548.0,1.0,H&N,HD95_binary
1|Record_ID_sigma,0.833,0.208,0.502,1.149,0.002,0.001,13121.0,20074.0,1.0,H&N,HD95_binary
1|Record_ID[2],0.167,0.593,-0.797,1.093,0.003,0.003,44138.0,30769.0,1.0,H&N,HD95_binary
1|Record_ID[11],0.274,0.624,-0.694,1.274,0.003,0.003,50963.0,30122.0,1.0,H&N,HD95_binary
1|Record_ID[18],0.303,0.608,-0.638,1.294,0.003,0.003,42957.0,32268.0,1.0,H&N,HD95_binary
1|Record_ID[27],0.185,0.637,-0.847,1.176,0.003,0.003,51739.0,31791.0,1.0,H&N,HD95_binary
1|Record_ID[31],0.376,0.6,-0.565,1.342,0.003,0.003,43740.0,31886.0,1.0,H&N,HD95_binary
1|Record_ID[32],0.207,0.572,-0.739,1.088,0.003,0.003,47576.0,30771.0,1.0,H&N,HD95_binary
1|Record_ID[46],0.043,0.668,-0.982,1.136,0.003,0.003,42860.0,31397.0,1.0,H&N,HD95_binary
1|Record_ID[48],-0.248,0.593,-1.162,0.715,0.003,0.003,46763.0,32723.0,1.0,H&N,HD95_binary
1|Record_ID[59],0.748,0.579,-0.162,1.665,0.003,0.002,42820.0,31164.0,1.0,H&N,HD95_binary
1|Record_ID[128],-0.034,0.576,-0.954,0.875,0.003,0.003,48147.0,33011.0,1.0,H&N,HD95_binary
1|Record_ID[148],-0.149,0.687,-1.209,0.97,0.003,0.003,59092.0,30226.0,1.0,H&N,HD95_binary
1|Record_ID[161],-0.53,0.592,-1.47,0.405,0.003,0.002,48112.0,31687.0,1.0,H&N,HD95_binary
1|Record_ID[165],-0.107,0.598,-1.052,0.845,0.003,0.003,48451.0,31108.0,1.0,H&N,HD95_binary
1|Record_ID[182],-0.43,0.599,-1.379,0.52,0.003,0.003,49439.0,31290.0,1.0,H&N,HD95_binary
1|Record_ID[186],0.278,0.589,-0.653,1.223,0.003,0.003,48568.0,31926.0,1.0,H&N,HD95_binary
1|Record_ID[199],0.595,0.6,-0.383,1.518,0.003,0.002,44127.0,31634.0,1.0,H&N,HD95_binary
