Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
Intercept,-1.343,0.76,-2.534,-0.129,0.005,0.004,28560.0,24200.0,1.0,H&N,SDSC_binary
C(ROI_category)[Tumor],-0.374,0.239,-0.768,-0.002,0.001,0.001,50955.0,27532.0,1.0,H&N,SDSC_binary
C(Location)[US],-0.278,0.552,-1.154,0.603,0.004,0.003,23345.0,19662.0,1.0,H&N,SDSC_binary
"C(Gender, Treatment(""Male""))[Female]",-0.236,0.401,-0.872,0.397,0.003,0.002,23809.0,20550.0,1.0,H&N,SDSC_binary
Total_years_of_practice,-0.254,0.183,-0.55,0.031,0.001,0.001,25764.0,21664.0,1.0,H&N,SDSC_binary
"C(Practice_type, Treatment(""Non-academic""))[Academic]",0.403,0.338,-0.145,0.924,0.002,0.002,24808.0,21228.0,1.0,H&N,SDSC_binary
Colleague_num,0.091,0.197,-0.223,0.402,0.001,0.001,23480.0,21336.0,1.0,H&N,SDSC_binary
"C(Colleague_presence, Treatment(""No""))[Yes]",0.376,0.472,-0.355,1.138,0.003,0.003,22892.0,19482.0,1.0,H&N,SDSC_binary
"C(Race_white, Treatment(""Unchecked""))[Checked]",0.216,0.355,-0.343,0.784,0.002,0.002,25718.0,22428.0,1.0,H&N,SDSC_binary
"C(Treat_site_Head__Neck, Treatment(""Unchecked""))[Checked]",0.05,0.658,-1.017,1.072,0.004,0.004,26493.0,21941.0,1.0,H&N,SDSC_binary
1|Record_ID_sigma,0.779,0.228,0.42,1.137,0.002,0.002,9903.0,15345.0,1.0,H&N,SDSC_binary
1|Record_ID[2],0.462,0.574,-0.431,1.389,0.003,0.003,31219.0,26310.0,1.0,H&N,SDSC_binary
1|Record_ID[11],0.912,0.668,-0.132,1.939,0.004,0.004,23881.0,22801.0,1.0,H&N,SDSC_binary
1|Record_ID[18],0.216,0.609,-0.744,1.193,0.003,0.003,32304.0,23618.0,1.0,H&N,SDSC_binary
1|Record_ID[27],-0.592,0.718,-1.712,0.514,0.004,0.004,35753.0,24062.0,1.0,H&N,SDSC_binary
1|Record_ID[31],-0.236,0.648,-1.261,0.804,0.003,0.003,40097.0,25765.0,1.0,H&N,SDSC_binary
1|Record_ID[32],-0.219,0.566,-1.101,0.696,0.003,0.003,36671.0,27108.0,1.0,H&N,SDSC_binary
1|Record_ID[46],-0.218,0.671,-1.298,0.822,0.004,0.003,36101.0,27341.0,1.0,H&N,SDSC_binary
1|Record_ID[48],-0.055,0.578,-0.966,0.868,0.003,0.003,36296.0,27927.0,1.0,H&N,SDSC_binary
1|Record_ID[59],0.303,0.548,-0.536,1.199,0.003,0.003,35869.0,28079.0,1.0,H&N,SDSC_binary
1|Record_ID[128],0.474,0.575,-0.44,1.371,0.003,0.003,32632.0,26182.0,1.0,H&N,SDSC_binary
1|Record_ID[148],-0.115,0.657,-1.155,0.932,0.003,0.003,45512.0,26933.0,1.0,H&N,SDSC_binary
