Case,Metric,Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Sarcoma,DSC_binary,Intercept,0.759,1.351,-1.298,2.927,0.013,0.012,12890.0,8384.0,1.0
Sarcoma,DSC_binary,C(ROI_category)[Tumor],-1.044,0.543,-1.906,-0.19,0.004,0.003,21729.0,17369.0,1.0
Sarcoma,DSC_binary,C(Location)[US],0.553,1.067,-1.155,2.209,0.009,0.007,14397.0,7301.0,1.0
Sarcoma,DSC_binary,"C(Gender, Treatment(""Male""))[Female]",0.659,0.803,-0.595,1.912,0.006,0.006,16230.0,12533.0,1.0
Sarcoma,DSC_binary,Total_years_of_practice,-0.442,0.411,-1.072,0.178,0.008,0.01,5516.0,2137.0,1.0
Sarcoma,DSC_binary,"C(Practice_type, Treatment(""Non-academic""))[Academic]",-0.013,0.789,-1.238,1.206,0.013,0.018,5460.0,2422.0,1.0
Sarcoma,DSC_binary,Colleague_num,-0.152,0.43,-0.816,0.533,0.006,0.005,5777.0,2949.0,1.0
Sarcoma,DSC_binary,"C(Colleague_presence, Treatment(""No""))[Yes]",-1.125,0.951,-2.596,0.373,0.012,0.011,8407.0,4670.0,1.0
Sarcoma,DSC_binary,"C(Race_white, Treatment(""Unchecked""))[Checked]",-0.766,0.83,-2.063,0.528,0.011,0.009,6580.0,2933.0,1.0
Sarcoma,DSC_binary,"C(Treat_site_Sarcoma, Treatment(""Unchecked""))[Checked]",-0.385,0.821,-1.622,0.838,0.017,0.018,4992.0,2352.0,1.0
Sarcoma,DSC_binary,1|Record_ID_sigma,1.443,0.742,0.179,2.468,0.015,0.014,3533.0,1683.0,1.0
Sarcoma,DSC_binary,1|Record_ID[2],-0.23,1.169,-1.965,1.587,0.026,0.039,5764.0,2476.0,1.0
Sarcoma,DSC_binary,1|Record_ID[11],0.56,1.17,-1.202,2.487,0.008,0.007,20428.0,14698.0,1.0
Sarcoma,DSC_binary,1|Record_ID[27],0.141,1.177,-1.681,2.069,0.008,0.007,23876.0,13173.0,1.0
Sarcoma,DSC_binary,1|Record_ID[31],-1.202,1.515,-3.333,0.895,0.033,0.036,5373.0,2399.0,1.0
Sarcoma,DSC_binary,1|Record_ID[48],-1.14,1.439,-3.311,0.931,0.014,0.011,11479.0,6876.0,1.0
Sarcoma,DSC_binary,1|Record_ID[59],1.112,1.31,-0.791,3.147,0.022,0.024,5604.0,2213.0,1.0
Sarcoma,DSC_binary,1|Record_ID[120],0.555,1.209,-1.248,2.514,0.01,0.008,14066.0,7588.0,1.0
Sarcoma,DSC_binary,1|Record_ID[128],1.161,1.302,-0.721,3.185,0.013,0.011,11419.0,9230.0,1.0
Sarcoma,DSC_binary,1|Record_ID[129],-0.719,1.416,-2.879,1.404,0.013,0.012,15746.0,13000.0,1.0
Sarcoma,DSC_binary,1|Record_ID[140],-0.747,1.434,-2.897,1.343,0.027,0.032,6729.0,2904.0,1.0
Sarcoma,DSC_binary,1|Record_ID[182],-0.029,1.12,-1.845,1.712,0.008,0.007,20705.0,14897.0,1.0
Sarcoma,DSC_binary,1|Record_ID[186],0.081,1.156,-1.704,1.872,0.023,0.03,6046.0,2868.0,1.0
Sarcoma,DSC_binary,1|Record_ID[235],-0.54,1.26,-2.438,1.381,0.027,0.037,5473.0,2200.0,1.0
Sarcoma,DSC_binary,1|Record_ID[241],-0.677,1.385,-2.856,1.372,0.011,0.009,19990.0,14097.0,1.0
Sarcoma,DSC_binary,1|Record_ID[245],0.476,1.421,-1.601,2.806,0.014,0.012,13121.0,6685.0,1.0
Sarcoma,DSC_binary,1|Record_ID[247],-0.842,1.463,-3.138,1.169,0.03,0.035,5581.0,2050.0,1.0
Sarcoma,DSC_binary,1|Record_ID[250],1.096,1.273,-0.735,3.112,0.013,0.01,11108.0,10901.0,1.0
Sarcoma,DSC_binary,1|Record_ID[304],1.403,1.529,-0.77,3.737,0.015,0.012,12723.0,10528.0,1.0
Sarcoma,DSC_binary,1|Record_ID[310],-0.024,1.196,-1.873,1.811,0.024,0.03,5011.0,2788.0,1.0
Sarcoma,DSC_binary,1|Record_ID[362],0.619,1.264,-1.227,2.68,0.012,0.013,13633.0,7782.0,1.0
Sarcoma,DSC_binary,1|Record_ID[384],0.239,1.171,-1.598,2.117,0.013,0.01,9885.0,4912.0,1.0
Sarcoma,DSC_binary,1|Record_ID[386],-0.674,1.253,-2.598,1.233,0.014,0.015,11042.0,7449.0,1.0
