Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
Intercept,2.251,1.772,-0.526,4.984,0.011,0.009,27999.0,22010.0,1.0,Sarcoma,HD95_binary
C(ROI_category)[Tumor],0.268,0.546,-0.595,1.148,0.002,0.003,75926.0,29778.0,1.0,Sarcoma,HD95_binary
C(Location)[US],0.382,1.324,-1.694,2.456,0.008,0.007,29436.0,23671.0,1.0,Sarcoma,HD95_binary
"C(Gender, Treatment(""Male""))[Female]",-0.875,1.005,-2.413,0.739,0.006,0.005,27873.0,21934.0,1.0,Sarcoma,HD95_binary
Total_years_of_practice,1.156,0.598,0.246,2.084,0.004,0.003,28209.0,20462.0,1.0,Sarcoma,HD95_binary
"C(Practice_type, Treatment(""Non-academic""))[Academic]",-1.211,0.926,-2.65,0.253,0.006,0.005,28291.0,22194.0,1.0,Sarcoma,HD95_binary
Colleague_num,0.053,0.5,-0.716,0.865,0.003,0.003,30533.0,24493.0,1.0,Sarcoma,HD95_binary
"C(Colleague_presence, Treatment(""No""))[Yes]",-0.673,1.229,-2.621,1.24,0.007,0.006,28484.0,23525.0,1.0,Sarcoma,HD95_binary
"C(Race_white, Treatment(""Unchecked""))[Checked]",0.331,0.95,-1.133,1.854,0.006,0.005,30239.0,24810.0,1.0,Sarcoma,HD95_binary
"C(Treat_site_Sarcoma, Treatment(""Unchecked""))[Checked]",-0.227,0.983,-1.749,1.333,0.006,0.005,30583.0,22840.0,1.0,Sarcoma,HD95_binary
1|Record_ID_sigma,1.992,0.792,0.751,3.176,0.009,0.006,8326.0,12170.0,1.0,Sarcoma,HD95_binary
1|Record_ID[2],-0.324,1.372,-2.428,1.921,0.007,0.007,38710.0,27881.0,1.0,Sarcoma,HD95_binary
1|Record_ID[11],0.466,1.425,-1.721,2.775,0.007,0.007,39490.0,28404.0,1.0,Sarcoma,HD95_binary
1|Record_ID[27],-0.442,1.493,-2.765,1.915,0.008,0.008,40252.0,26547.0,1.0,Sarcoma,HD95_binary
1|Record_ID[31],-2.274,1.664,-4.815,0.275,0.012,0.009,19443.0,22520.0,1.0,Sarcoma,HD95_binary
1|Record_ID[48],0.458,1.452,-1.833,2.738,0.007,0.007,41851.0,29879.0,1.0,Sarcoma,HD95_binary
1|Record_ID[59],0.493,1.465,-1.78,2.821,0.008,0.007,35370.0,25627.0,1.0,Sarcoma,HD95_binary
1|Record_ID[120],1.032,1.857,-1.738,3.918,0.01,0.009,41692.0,25280.0,1.0,Sarcoma,HD95_binary
1|Record_ID[128],1.319,1.798,-1.356,4.068,0.01,0.011,37530.0,24935.0,1.0,Sarcoma,HD95_binary
1|Record_ID[129],-1.326,1.718,-4.049,1.286,0.011,0.009,28682.0,26265.0,1.0,Sarcoma,HD95_binary
1|Record_ID[140],-0.532,1.336,-2.673,1.532,0.007,0.006,42314.0,28903.0,1.0,Sarcoma,HD95_binary
1|Record_ID[182],-1.877,1.786,-4.489,0.797,0.012,0.01,24638.0,22510.0,1.0,Sarcoma,HD95_binary
1|Record_ID[186],-2.37,1.764,-4.958,0.268,0.012,0.009,21980.0,25368.0,1.0,Sarcoma,HD95_binary
1|Record_ID[235],1.466,1.816,-1.233,4.247,0.01,0.009,34584.0,24242.0,1.0,Sarcoma,HD95_binary
1|Record_ID[241],-2.422,1.799,-5.031,0.268,0.013,0.009,19365.0,21445.0,1.0,Sarcoma,HD95_binary
1|Record_ID[245],0.225,2.041,-2.984,3.351,0.009,0.012,54784.0,24498.0,1.0,Sarcoma,HD95_binary
1|Record_ID[247],0.029,1.441,-2.255,2.313,0.008,0.007,38198.0,28783.0,1.0,Sarcoma,HD95_binary
1|Record_ID[250],1.391,1.797,-1.36,4.047,0.01,0.009,36301.0,25546.0,1.0,Sarcoma,HD95_binary
1|Record_ID[304],1.133,1.883,-1.69,4.063,0.01,0.01,38251.0,25454.0,1.0,Sarcoma,HD95_binary
1|Record_ID[310],0.133,1.397,-2.119,2.329,0.007,0.006,40041.0,31034.0,1.0,Sarcoma,HD95_binary
1|Record_ID[362],1.326,1.788,-1.406,3.983,0.01,0.009,38638.0,25913.0,1.0,Sarcoma,HD95_binary
1|Record_ID[384],0.243,1.363,-1.908,2.39,0.007,0.006,40586.0,29376.0,1.0,Sarcoma,HD95_binary
1|Record_ID[386],-1.201,1.568,-3.69,1.153,0.01,0.009,28109.0,22668.0,1.0,Sarcoma,HD95_binary
1|Record_ID[397],-0.295,1.371,-2.491,1.832,0.007,0.007,39274.0,28453.0,1.0,Sarcoma,HD95_binary
1|Record_ID[418],-0.806,1.453,-3.039,1.544,0.008,0.007,36422.0,28710.0,1.0,Sarcoma,HD95_binary
1|Record_ID[421],1.575,1.727,-1.045,4.11,0.01,0.009,31574.0,24369.0,1.0,Sarcoma,HD95_binary
1|Record_ID[451],1.32,1.755,-1.338,3.98,0.01,0.009,35593.0,24453.0,1.0,Sarcoma,HD95_binary
1|Record_ID[472],1.713,1.743,-0.918,4.301,0.01,0.009,30703.0,25016.0,1.0,Sarcoma,HD95_binary
1|Record_ID[488],1.236,1.799,-1.575,3.917,0.01,0.009,36794.0,25921.0,1.0,Sarcoma,HD95_binary
1|Record_ID[572],-2.164,1.928,-5.047,0.745,0.013,0.01,23870.0,23586.0,1.0,Sarcoma,HD95_binary
1|Record_ID[603],1.44,1.837,-1.381,4.161,0.01,0.009,34953.0,24783.0,1.0,Sarcoma,HD95_binary
1|Record_ID[630],-0.925,1.474,-3.221,1.414,0.009,0.007,30003.0,25334.0,1.0,Sarcoma,HD95_binary
1|Record_ID[641],0.384,1.433,-1.883,2.634,0.007,0.007,43179.0,29034.0,1.0,Sarcoma,HD95_binary
1|Record_ID[688],0.663,1.273,-1.336,2.676,0.006,0.006,42905.0,30059.0,1.0,Sarcoma,HD95_binary
1|Record_ID[702],-0.506,1.472,-2.869,1.753,0.008,0.007,38021.0,26674.0,1.0,Sarcoma,HD95_binary
1|Record_ID[710],1.118,1.828,-1.613,3.956,0.009,0.009,42045.0,24777.0,1.0,Sarcoma,HD95_binary
1|Record_ID[767],-2.04,1.927,-4.895,0.898,0.012,0.01,25401.0,25286.0,1.0,Sarcoma,HD95_binary
1|Record_ID[799],-0.784,1.41,-2.923,1.481,0.008,0.007,34936.0,26009.0,1.0,Sarcoma,HD95_binary
1|Record_ID[845],0.522,1.989,-2.522,3.676,0.01,0.011,48032.0,26580.0,1.0,Sarcoma,HD95_binary
1|Record_ID[871],1.615,1.784,-1.106,4.197,0.011,0.009,31697.0,25384.0,1.0,Sarcoma,HD95_binary
1|Record_ID[873],-1.391,1.668,-3.966,1.216,0.011,0.009,25073.0,22897.0,1.0,Sarcoma,HD95_binary
1|Record_ID[885],-0.259,1.486,-2.625,2.067,0.008,0.007,36125.0,27733.0,1.0,Sarcoma,HD95_binary
1|Record_ID[908],0.784,1.856,-2.053,3.666,0.009,0.01,50319.0,25352.0,1.0,Sarcoma,HD95_binary
