Record_ID,ROI,DSC,HD95,APL,SDSC,DSC_expert_IOV,DSC_binary,SDSC_expert_IOV,SDSC_binary,Category,Location,Why_are_you_interested_in_participating_in_this_challenge__Select_all_that_apply_choiceOpportunity_to_win_gift_cards,Why_are_you_interested_in_participating_in_this_challenge__Select_all_that_apply_choiceComparison_to_peersleaderboard,Why_are_you_interested_in_participating_in_this_challenge__Select_all_that_apply_choiceAccess_to_educational_content,Why_are_you_interested_in_participating_in_this_challenge__Select_all_that_apply_choiceAccess_to_contour_datasets_for_guidelineresearch_purposes,How_did_you_first_hear_about_this_challenge__Select_all_that_apply,Please_specify_Other,What_is_your_profession,What_year_of_residency_are_you_in,What_year_did_you_start_practicing_graduate_residency,Gender,Race_white,HISPANIC_Which_categories_describe_you___Select_all_that_apply___choiceHispanic_Latino_or_Spanish_origin,BLACK_Which_categories_describe_you___Select_all_that_apply___choiceBlack_or_African_American,ASIAN_Which_categories_describe_you___Select_all_that_apply___choiceAsian,OTHER_Which_categories_describe_you___Select_all_that_apply___choiceOther,Academic_affiliation,Practice_type,Colleague_num,Colleague_presence,Treat_site_Breast,Treat_site_CNS,Treat_site_Gastrointestinal,Treat_site_Genitourinary,Treat_site_Gynecologic,Treat_site_Head__Neck,Treat_site_Lung_Thoracic,Treat_site_Lymphoma_Leukemia,Treat_site_Metastatic,Treat_site_Pediatric,Treat_site_Sarcoma,Treat_site_Skin_Cutaneous,Total_years_of_practice
105,BrachialPlex_L,0.48137369033760186,12.441788683243104,2574,0.8629327288251212,0.19650205761316872,1,0.5704427521181218,1,Non-expert,Non-US,Unchecked,Unchecked,Checked,Unchecked,Colleague (word of mouth),,Radiation Oncologist/Clinical Oncologist,,2017.0,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Academic/university,10.0,Yes,Checked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,5.0
105,CTV_Ax,0.7636998149791664,9.875571098499194,10094,0.6979529804873321,0.6819500827955585,1,0.6201588185632028,1,Non-expert,Non-US,Unchecked,Unchecked,Checked,Unchecked,Colleague (word of mouth),,Radiation Oncologist/Clinical Oncologist,,2017.0,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Academic/university,10.0,Yes,Checked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,5.0
105,CTV_Chestwall,0.6515770075838118,20.81801872205579,38068,0.4937349392735899,0.6650613520065458,0,0.6897985310346975,0,Non-expert,Non-US,Unchecked,Unchecked,Checked,Unchecked,Colleague (word of mouth),,Radiation Oncologist/Clinical Oncologist,,2017.0,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Academic/university,10.0,Yes,Checked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,5.0
105,CTV_IMN,0.20097048119692681,34.01883444541739,2908,0.39890774656903566,0.46193446690802586,0,0.7150296908037352,0,Non-expert,Non-US,Unchecked,Unchecked,Checked,Unchecked,Colleague (word of mouth),,Radiation Oncologist/Clinical Oncologist,,2017.0,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Academic/university,10.0,Yes,Checked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,5.0
105,CTV_Sclav_LN,0.7683357752305439,5.215574451752203,3959,0.8994675213045016,0.56786170816696,1,0.6453852071644135,1,Non-expert,Non-US,Unchecked,Unchecked,Checked,Unchecked,Colleague (word of mouth),,Radiation Oncologist/Clinical Oncologist,,2017.0,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Academic/university,10.0,Yes,Checked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,5.0
105,Heart,0.9613354399403493,2.539062023162842,10697,0.9427396627122531,0.9023291235641302,1,0.7368807502881014,1,Non-expert,Non-US,Unchecked,Unchecked,Checked,Unchecked,Colleague (word of mouth),,Radiation Oncologist/Clinical Oncologist,,2017.0,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Academic/university,10.0,Yes,Checked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,5.0
105,A_LAD,0.3840104849279161,12.5,1613,0.8112526163800486,0.3235463442717329,1,0.713727154753579,1,Non-expert,Non-US,Unchecked,Unchecked,Checked,Unchecked,Colleague (word of mouth),,Radiation Oncologist/Clinical Oncologist,,2017.0,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Academic/university,10.0,Yes,Checked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,5.0
107,CTV_Ax,0.8067056486895652,9.91535417175724,8314,0.8213066581180941,0.6819500827955585,1,0.6201588185632028,1,Non-expert,Non-US,Checked,Checked,Checked,Checked,eContour website announcement,,Resident Physician,3.0,,Male,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Yes,Academic/university,10.0,Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,
107,CTV_Chestwall,0.8168349202707353,11.425779104232788,35791,0.8196336344949464,0.6650613520065458,1,0.6897985310346975,1,Non-expert,Non-US,Checked,Checked,Checked,Checked,eContour website announcement,,Resident Physician,3.0,,Male,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Yes,Academic/university,10.0,Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,
107,CTV_IMN,0.3989935298346513,17.03254584864078,2751,0.5987066746203284,0.46193446690802586,0,0.7150296908037352,0,Non-expert,Non-US,Checked,Checked,Checked,Checked,eContour website announcement,,Resident Physician,3.0,,Male,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Yes,Academic/university,10.0,Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,
