Record_ID,ROI,DSC,HD95,APL,SDSC,DSC_expert_IOV,DSC_binary,SDSC_expert_IOV,SDSC_binary,Category,Location,Why_are_you_interested_in_participating_in_this_challenge__Select_all_that_apply_choiceOpportunity_to_win_gift_cards,Why_are_you_interested_in_participating_in_this_challenge__Select_all_that_apply_choiceComparison_to_peersleaderboard,Why_are_you_interested_in_participating_in_this_challenge__Select_all_that_apply_choiceAccess_to_educational_content,Why_are_you_interested_in_participating_in_this_challenge__Select_all_that_apply_choiceAccess_to_contour_datasets_for_guidelineresearch_purposes,How_did_you_first_hear_about_this_challenge__Select_all_that_apply,Please_specify_Other,What_is_your_profession,What_year_of_residency_are_you_in,What_year_did_you_start_practicing_graduate_residency,Gender,Race_white,HISPANIC_Which_categories_describe_you___Select_all_that_apply___choiceHispanic_Latino_or_Spanish_origin,BLACK_Which_categories_describe_you___Select_all_that_apply___choiceBlack_or_African_American,ASIAN_Which_categories_describe_you___Select_all_that_apply___choiceAsian,OTHER_Which_categories_describe_you___Select_all_that_apply___choiceOther,Academic_affiliation,Practice_type,Colleague_num,Colleague_presence,Treat_site_Breast,Treat_site_CNS,Treat_site_Gastrointestinal,Treat_site_Genitourinary,Treat_site_Gynecologic,Treat_site_Head__Neck,Treat_site_Lung_Thoracic,Treat_site_Lymphoma_Leukemia,Treat_site_Metastatic,Treat_site_Pediatric,Treat_site_Sarcoma,Treat_site_Skin_Cutaneous,Total_years_of_practice
11,GTVn,0.8739284786561607,4.305431820858681,2401,0.5252618227981843,0.9043813196737924,0,0.6328739995543557,0,Non-expert,Non-US,Checked,Unchecked,Unchecked,Checked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,Academic/university,2,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,
11,Brainstem,0.8928722773116365,3.0,1785,0.8690535519013873,0.8141588565779211,1,0.7395818052266327,1,Non-expert,Non-US,Checked,Unchecked,Unchecked,Checked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,Academic/university,2,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,
11,Glnd_Submand_L,0.8654867256637168,3.90625,865,0.6515230181668862,0.8542252062645656,1,0.6414836973828517,1,Non-expert,Non-US,Checked,Unchecked,Unchecked,Checked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,Academic/university,2,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,
11,Glnd_Submand_R,0.7578347578347578,4.8828125,1441,0.6695194882668329,0.7965593609563786,0,0.7779116993555693,0,Non-expert,Non-US,Checked,Unchecked,Unchecked,Checked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,Academic/university,2,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,
11,Larynx,0.8752287360216876,3.521046167445302,4330,0.9022767140275727,0.5956925237635646,1,0.6418820582480957,1,Non-expert,Non-US,Checked,Unchecked,Unchecked,Checked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,Academic/university,2,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,
11,Parotid_L,0.9070402157114202,2.1836601342771385,2296,0.6332828113459121,0.8547487240607499,1,0.505591035870258,1,Non-expert,Non-US,Checked,Unchecked,Unchecked,Checked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,Academic/university,2,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,
11,Parotid_R,0.8805007344957527,2.9296875,2896,0.5174145784998536,0.8665221918896016,1,0.5063622715724334,1,Non-expert,Non-US,Checked,Unchecked,Unchecked,Checked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,Academic/university,2,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,
128,GTVp,0.7909811610263404,6.582725529036206,3603,0.609313916117558,0.7837435050549805,1,0.6770140029502919,0,Non-expert,US,Unchecked,Unchecked,Checked,Checked,Twitter,,Radiation Oncologist/Clinical Oncologist,,2018.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Private practice (solo or group),4,Yes,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,4.0
128,GTVn,0.9211723713875795,3.0,1791,0.6704232653892644,0.9043813196737924,1,0.6328739995543557,1,Non-expert,US,Unchecked,Unchecked,Checked,Checked,Twitter,,Radiation Oncologist/Clinical Oncologist,,2018.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Private practice (solo or group),4,Yes,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,4.0
128,CTV1,0.4916221954438515,80.60360400753744,12079,0.29077897562594146,0.8494243888653437,0,0.6492816352837187,0,Non-expert,US,Unchecked,Unchecked,Checked,Checked,Twitter,,Radiation Oncologist/Clinical Oncologist,,2018.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Private practice (solo or group),4,Yes,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,4.0
128,CTV2,0.6749115530071977,151.61817477747041,43696,0.7080179780872284,0.7026643183859858,0,0.821453993917562,0,Non-expert,US,Unchecked,Unchecked,Checked,Checked,Twitter,,Radiation Oncologist/Clinical Oncologist,,2018.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Private practice (solo or group),4,Yes,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,4.0
128,Brainstem,0.8334166628789601,3.579762180037244,2838,0.6935730581347765,0.8141588565779211,1,0.7395818052266327,0,Non-expert,US,Unchecked,Unchecked,Checked,Checked,Twitter,,Radiation Oncologist/Clinical Oncologist,,2018.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Private practice (solo or group),4,Yes,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,4.0
128,Glnd_Submand_L,0.9059953788155175,2.1836601342771385,687,0.7406948892779986,0.8542252062645656,1,0.6414836973828517,1,Non-expert,US,Unchecked,Unchecked,Checked,Checked,Twitter,,Radiation Oncologist/Clinical Oncologist,,2018.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Private practice (solo or group),4,Yes,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,4.0
128,Glnd_Submand_R,0.8348768472906404,2.9296875,1323,0.7910773859605643,0.7965593609563786,1,0.7779116993555693,1,Non-expert,US,Unchecked,Unchecked,Checked,Checked,Twitter,,Radiation Oncologist/Clinical Oncologist,,2018.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Private practice (solo or group),4,Yes,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,4.0
128,Larynx,0.7543048261085418,6.253051013118016,5412,0.6232689505068179,0.5956925237635646,1,0.6418820582480957,0,Non-expert,US,Unchecked,Unchecked,Checked,Checked,Twitter,,Radiation Oncologist/Clinical Oncologist,,2018.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Private practice (solo or group),4,Yes,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,4.0
128,Musc_Constrict,0.4797079498232941,25.334127045628836,8838,0.5581528142053549,0.5707381067458399,0,0.75113838433223,0,Non-expert,US,Unchecked,Unchecked,Checked,Checked,Twitter,,Radiation Oncologist/Clinical Oncologist,,2018.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Private practice (solo or group),4,Yes,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,4.0
128,Parotid_L,0.8716608010725658,15.984917207323909,2921,0.5595035550578058,0.8547487240607499,1,0.505591035870258,1,Non-expert,US,Unchecked,Unchecked,Checked,Checked,Twitter,,Radiation Oncologist/Clinical Oncologist,,2018.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Private practice (solo or group),4,Yes,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,4.0
