Record_ID,ROI,DSC,HD95,APL,SDSC,DSC_expert_IOV,DSC_binary,SDSC_expert_IOV,SDSC_binary,Category,Location,Why_are_you_interested_in_participating_in_this_challenge__Select_all_that_apply_choiceOpportunity_to_win_gift_cards,Why_are_you_interested_in_participating_in_this_challenge__Select_all_that_apply_choiceComparison_to_peersleaderboard,Why_are_you_interested_in_participating_in_this_challenge__Select_all_that_apply_choiceAccess_to_educational_content,Why_are_you_interested_in_participating_in_this_challenge__Select_all_that_apply_choiceAccess_to_contour_datasets_for_guidelineresearch_purposes,How_did_you_first_hear_about_this_challenge__Select_all_that_apply,Please_specify_Other,What_is_your_profession,What_year_of_residency_are_you_in,What_year_did_you_start_practicing_graduate_residency,Gender,Race_white,HISPANIC_Which_categories_describe_you___Select_all_that_apply___choiceHispanic_Latino_or_Spanish_origin,BLACK_Which_categories_describe_you___Select_all_that_apply___choiceBlack_or_African_American,ASIAN_Which_categories_describe_you___Select_all_that_apply___choiceAsian,OTHER_Which_categories_describe_you___Select_all_that_apply___choiceOther,Academic_affiliation,Practice_type,Colleague_num,Colleague_presence,Treat_site_Breast,Treat_site_CNS,Treat_site_Gastrointestinal,Treat_site_Genitourinary,Treat_site_Gynecologic,Treat_site_Head__Neck,Treat_site_Lung_Thoracic,Treat_site_Lymphoma_Leukemia,Treat_site_Metastatic,Treat_site_Pediatric,Treat_site_Sarcoma,Treat_site_Skin_Cutaneous,Total_years_of_practice
107,GTV,0.9400531384921953,1.26953125,677,0.796985737769172,0.9365504786981065,1,0.793608716225344,1,Non-expert,Non-US,Checked,Checked,Checked,Checked,eContour website announcement,,Resident Physician,3.0,,Male,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Yes,Academic/university,10.0,Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,
107,CTV,0.6407095454215003,27.02982999566824,11707,0.4775141490772206,0.7135977350215679,0,0.7103509013048968,0,Non-expert,Non-US,Checked,Checked,Checked,Checked,eContour website announcement,,Resident Physician,3.0,,Male,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Yes,Academic/university,10.0,Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,
107,Genitals,0.6146097492251339,17.079796153511545,5943,0.690459585947778,0.689956896021211,0,0.7239648830951697,0,Non-expert,Non-US,Checked,Checked,Checked,Checked,eContour website announcement,,Resident Physician,3.0,,Male,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Yes,Academic/university,10.0,Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,
11,GTV,0.9557979797979798,1.26953125,460,0.8636505963747845,0.9365504786981065,1,0.793608716225344,1,Non-expert,Non-US,Checked,Unchecked,Unchecked,Checked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,Academic/university,2.0,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,
11,CTV,0.2684423644848838,71.76229285227053,12402,0.21597897693353782,0.7135977350215679,0,0.7103509013048968,0,Non-expert,Non-US,Checked,Unchecked,Unchecked,Checked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,Academic/university,2.0,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,
11,Genitals,0.8446386979900509,12.58989222958398,3601,0.8961221321597007,0.689956896021211,1,0.7239648830951697,1,Non-expert,Non-US,Checked,Unchecked,Unchecked,Checked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,,Female,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,Academic/university,2.0,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,
120,GTV,0.9573678568483549,1.26953125,491,0.8770708093119336,0.9365504786981065,1,0.793608716225344,1,Non-expert,US,Unchecked,Checked,Checked,Unchecked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,2017.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Non-academic hospital,0.0,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,5.0
120,CTV,0.6040269889396592,27.119123112278285,12170,0.39976441879081115,0.7135977350215679,0,0.7103509013048968,0,Non-expert,US,Unchecked,Checked,Checked,Unchecked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,2017.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Non-academic hospital,0.0,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,5.0
120,Genitals,0.7202133965619443,7.782975461303344,5204,0.8151185167127288,0.689956896021211,1,0.7239648830951697,1,Non-expert,US,Unchecked,Checked,Checked,Unchecked,eContour website announcement,,Radiation Oncologist/Clinical Oncologist,,2017.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Non-academic hospital,0.0,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,5.0
128,GTV,0.961590673161383,1.26953125,396,0.8721793478543768,0.9365504786981065,1,0.793608716225344,1,Non-expert,US,Unchecked,Unchecked,Checked,Checked,Twitter,,Radiation Oncologist/Clinical Oncologist,,2018.0,Male,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,Private practice (solo or group),4.0,Yes,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,4.0
